x	f(x)	f'(x)
1,60000	0,9995736030	-0,0291873570
1,65000	0,9968650285	-0,0790879250
1,70000	0,9916648105	-0,1287908160
1,75000	0,9839859469	-0,1781717960
1,80000	0,9738476309	-0,2271074390
1,85000	0,9612752030	-0,2754754320
1,90000	0,9463000877	-0,3231548800
1,95000	0,9289597150	-0,3700266090
2,00000	0,9092974268	-0,4159734640
2,05000	0,8873623686	-0,4608806020
2,10000	0,8632093666	-0,5046357780
2,15000	0,8368987908	-0,5471296280
2,20000	0,8084964038	-0,5882559390
2,25000	0,7780731969	-0,6279119160
2,30000	0,7457052122	-0,6659984410
2,35000	0,7114733528	-0,7024203160
2,40000	0,6754631806	-0,7370865070
2,45000	0,6377647021	-0,7699103650
2,50000	0,5984721441	-0,8008098470
2,55000	0,5576837174	-0,8297077230
2,60000	0,5155013718	-0,8565317610
2,65000	0,4720305413	-0,8812149160
2,70000	0,4273798802	-0,9036954920
2,75000	0,3816609921	-0,9239173000
2,80000	0,3349881502	-0,9418297980
2,85000	0,2874780123	-0,9573882100
2,90000	0,2392493292	-0,9705536490
2,95000	0,1904226474	-0,9812932110
3,00000	0,1411200081	-0,9895800520
3,05000	0,0914646422	-0,9953934570
3,10000	0,0415806624	-0,9987188960
3,15000	-0,0084072474	-0,9995480580
3,20000	-0,0583741434	-0,9978788710
3,25000	-0,1081951345	-0,9937155070
3,30000	-0,1577456941	-0,9870683720
3,35000	-0,2069019717	-0,9779540790
3,40000	-0,2555411020	-0,9663954100
3,45000	-0,3035415127	-0,9524212570
3,50000	-0,3507832277	-0,9360665460
3,55000	-0,3971481673	-0,9173721560
3,60000	-0,4425204433	-0,8963848140
3,65000	-0,4867866487	-0,8731569760
3,70000	-0,5298361409	-0,8477467000
3,75000	-0,5715613187	-0,8202175000
3,80000	-0,6118578909	-0,7906381840
3,85000	-0,6506251371	-0,7590826830
3,90000	-0,6877661592	-0,7256298700
3,95000	-0,7231881241	-0,6903633610
4,00000	-0,7568024953	-0,6533713030
4,05000	-0,7885252544	-0,6147461580
4,10000	-0,8182771111	-0,5745844670
4,15000	-0,8459837011	-0,5329866130
4,20000	-0,8715757724	-0,4900565710
4,25000	-0,8949893582	-0,4459016430
4,30000	-0,9161659367	-0,4006321940
4,35000	-0,9350525776	-0,3543613720
4,40000	-0,9516020739	-0,3072048300
4,45000	-0,9657730606	-0,2592804380
4,50000	-0,9775301177	-0,2107079790
4,55000	-0,9868438585	-0,1616088590
4,60000	-0,9936910036	-0,1121058030
4,65000	-0,9980544388	-0,0623225400
4,70000	-0,9999232576	-0,0123835020
4,75000	-0,9992927890	0,0375864880
4,80000	-0,9961646088	0,0874625300
4,85000	-0,9905465360	0,1371199620
4,90000	-0,9824526126	0,1864346660
4,95000	-0,9719030694	0,2352833790
5,00000	-0,9589242747	0,2835440080
5,05000	-0,9435486686	0,3310959240
5,10000	-0,9258146823	0,3778202710
5,15000	-0,9057666415	0,4236002660
5,20000	-0,8834546557	0,4683214810
5,25000	-0,8589344934	0,5118721350
5,30000	-0,8322674422	0,5541433750
5,35000	-0,8035201559	0,5950295460
5,40000	-0,7727644876	0,6344284540
5,45000	-0,7400773105	0,6722416200
5,50000	-0,7055403256	0,7083745320
5,55000	-0,6692398573	0,7427368770
5,60000	-0,6312666379	0,7752427670
5,65000	-0,5917155806	0,8058109530
5,70000	-0,5506855426	0,8343650310
5,75000	-0,5082790775	0,8608336320
5,80000	-0,4646021794	0,8851505970
5,85000	-0,4197640178	0,9072551460
5,90000	-0,3738766648	0,9270920290
5,95000	-0,3270548149	0,9446116660
6,00000	-0,2794154982	0,9597702660
6,05000	-0,2310777883	0,9725299390
6,10000	-0,1821625043	0,9828587940
6,15000	-0,1327919089	0,9907310150
6,20000	-0,0830894028	0,9961269240
6,25000	-0,0331792165	0,9990330330
6,30000	0,0168139005	0,9994420800
6,35000	0,0667649915	0,9973530440
6,40000	0,1165492049	0,9927711440
