x	f(x)	f'(x)
1,50000	0,1051351981	-0,3079499481
1,55000	0,0904718742	-0,2785810560
1,60000	0,0772717779	-0,2495269509
1,65000	0,0655042734	-0,2213631574
1,70000	0,0551129743	-0,1945448018
1,75000	0,0460216352	-0,1694124020
1,80000	0,0381396665	-0,1462009183
1,85000	0,0313671366	-0,1250511235
1,90000	0,0255991651	-0,1060224071
1,95000	0,0207296569	-0,0891062155
2,00000	0,0166543633	-0,0742394484
2,05000	0,0132732858	-0,0613172594
2,10000	0,0104924638	-0,0502048423
2,15000	0,0082252044	-0,0407479166
2,20000	0,0063928248	-0,0327817391
2,25000	0,0049249819	-0,0261385789
2,30000	0,0037596669	-0,0206536717
2,35000	0,0028429378	-0,0161697409
2,40000	0,0021284599	-0,0125402172
2,45000	0,0015769134	-0,0096313211
2,50000	0,0011553230	-0,0073231861
2,55000	0,0008363501	-0,0055102044
2,60000	0,0005975842	-0,0041007684
2,65000	0,0004208595	-0,0030165683
2,70000	0,0002916133	-0,0021915855
2,75000	0,0001983014	-0,0015709018
2,80000	0,0001318745	-0,0011094208
2,85000	0,0000853194	-0,0007705781
2,90000	0,0000532640	-0,0005250957
2,95000	0,0000316425	-0,0003498201
3,00000	0,0000174156	-0,0002266683
3,05000	0,0000083412	-0,0001416950
3,10000	0,0000027882	-0,0000842836
3,15000	-0,0000004124	-0,0000464582
3,20000	-0,0000020847	-0,0000223098
3,25000	-0,0000027988	-0,0000075240
3,30000	-0,0000029410	0,0000010001
3,35000	-0,0000027663	0,0000054534
3,40000	-0,0000024379	0,0000073543
3,45000	-0,0000020560	0,0000077327
3,50000	-0,0000016785	0,0000072687
3,55000	-0,0000013358	0,0000063976
3,60000	-0,0000010411	0,0000053860
3,65000	-0,0000007970	0,0000043878
3,70000	-0,0000006007	0,0000034836
3,75000	-0,0000004465	0,0000027076
3,80000	-0,0000003277	0,0000020667
3,85000	-0,0000002377	0,0000015527
3,90000	-0,0000001705	0,0000011502
3,95000	-0,0000001211	0,0000008411
4,00000	-0,0000000852	0,0000006078
4,05000	-0,0000000593	0,0000004343
4,10000	-0,0000000410	0,0000003071
4,15000	-0,0000000280	0,0000002150
4,20000	-0,0000000190	0,0000001491
4,25000	-0,0000000128	0,0000001025
4,30000	-0,0000000085	0,0000000698
4,35000	-0,0000000057	0,0000000471
4,40000	-0,0000000037	0,0000000315
4,45000	-0,0000000024	0,0000000209
4,50000	-0,0000000016	0,0000000138
4,55000	-0,0000000010	0,0000000090
4,60000	-0,0000000006	0,0000000058
4,65000	-0,0000000004	0,0000000038
4,70000	-0,0000000003	0,0000000024
4,75000	-0,0000000002	0,0000000015
4,80000	-0,0000000001	0,0000000010
4,85000	-0,0000000001	0,0000000006
4,90000	-0,0000000000	0,0000000004
4,95000	-0,0000000000	0,0000000002
5,00000	-0,0000000000	0,0000000001
5,05000	-0,0000000000	0,0000000001
5,10000	-0,0000000000	0,0000000000
5,15000	-0,0000000000	0,0000000000
5,20000	-0,0000000000	0,0000000000
5,25000	-0,0000000000	0,0000000000
5,30000	-0,0000000000	0,0000000000
5,35000	-0,0000000000	0,0000000000
5,40000	-0,0000000000	0,0000000000
5,45000	-0,0000000000	0,0000000000
5,50000	-0,0000000000	0,0000000000
5,55000	-0,0000000000	0,0000000000
5,60000	-0,0000000000	0,0000000000
5,65000	-0,0000000000	0,0000000000
5,70000	-0,0000000000	0,0000000000
5,75000	-0,0000000000	0,0000000000
5,80000	-0,0000000000	0,0000000000
5,85000	-0,0000000000	0,0000000000
5,90000	-0,0000000000	0,0000000000
5,95000	-0,0000000000	0,0000000000
6,00000	-0,0000000000	0,0000000000
6,05000	-0,0000000000	0,0000000000
6,10000	-0,0000000000	0,0000000000
6,15000	-0,0000000000	0,0000000000
6,20000	-0,0000000000	0,0000000000
6,25000	-0,0000000000	0,0000000000
6,30000	0,0000000000	0,0000000000
6,35000	0,0000000000	0,0000000000
6,40000	0,0000000000	-0,0000000000
6,45000	0,0000000000	-0,0000000000
6,50000	0,0000000000	-0,0000000000
